idMunicipio;numero;Departamento;Municipio;NUESTRO TIEMPO;FMLN;NUEVAS IDEAS;PDC;VAMOS;PCN;GANA;CD;ARENA;dpto_desc;muni_desc
65;11;cuscatlan;san-rafael-cedros;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Cuscatlán;San Rafael Cedros
66;12;cuscatlan;san-ramon;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Cuscatlán;San Ramón
67;13;cuscatlan;santa-cruz-analquito;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;Cuscatlán;Santa Cruz Analquito
68;14;cuscatlan;santa-cruz-michapa;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Cuscatlán;Santa Cruz Michapa
69;15;cuscatlan;suchitoto;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Cuscatlán;Suchitoto
70;16;cuscatlan;tenancingo;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;Cuscatlán;Tenancingo
71;2;la-libertad;antiguo-cuscatlan;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Libertad;Antiguo Cuscatlán
72;3;la-libertad;chiltiupan;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Libertad;Chiltiupán
73;4;la-libertad;ciudad-arce;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Libertad;Ciudad Arce
74;5;la-libertad;colon;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Libertad;Colón
75;6;la-libertad;comasagua;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Libertad;Comasagua
76;7;la-libertad;huizucar;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Libertad;Huizúcar
77;8;la-libertad;jayaque;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Libertad;Jayaque
78;9;la-libertad;jicalapa;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA;La Libertad;Jicalapa
79;10;la-libertad;la-libertad;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Libertad;La Libertad
80;11;la-libertad;nuevo-cuscatlan;;FMLN;;PDC;VAMOS;PCN;;;ARENA;La Libertad;Nuevo Cuscatlán
81;12;la-libertad;quezaltepeque;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA;La Libertad;Quezaltepeque
