;#;Departamento;Municipio;COALICION 1;COALICION 2;PARTIDO 1;PARTIDO 2;PARTIDO 3;PARTIDO 4;PARTIDO 5;PARTIDO 6;PARTIDO 7;PARTIDO 8;PARTIDO 9
193;15;san-salvador;san-martin;N-GANA;;;FMLN;;PDC;VAMOS;PCN;;CD;ARENA
194;16;san-salvador;santiago-texacuangos;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
195;17;san-salvador;santo-tomas;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
196;18;san-salvador;soyapango;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
197;19;san-salvador;tonacatepeque;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
198;1;san-vicente;san-vicente;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
199;2;san-vicente;apastepeque;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
200;3;san-vicente;guadalupe;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
201;4;san-vicente;san-cayetano-istepeque;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
202;5;san-vicente;san-esteban-catarina;N-CD;ARENA-PCN;;FMLN;;PDC;VAMOS;;GANA;;
203;6;san-vicente;san-ildefonso;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
204;7;san-vicente;san-lorenzo;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
205;8;san-vicente;san-sebastian;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
206;9;san-vicente;santa-clara;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
207;10;san-vicente;santo-domingo;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
208;11;san-vicente;tecoluca;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
209;12;san-vicente;tepetitan;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
210;13;san-vicente;verapaz;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
211;1;santa-ana;santa-ana;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
212;2;santa-ana;candelaria-de-la-frontera;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
213;3;santa-ana;chalchuapa;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
214;4;santa-ana;coatepeque;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
215;5;santa-ana;el-congo;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
216;6;santa-ana;el-porvenir;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
217;7;santa-ana;masahuat;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
218;8;santa-ana;metapan;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
219;9;santa-ana;san-antonio-pajonal;N-GANA;;;FMLN;;PDC;VAMOS;PCN;;CD;ARENA
220;10;santa-ana;san-sebastian-salitrillo;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
221;11;santa-ana;santa-rosa-guachipilin;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
222;12;santa-ana;santiago-de-la-frontera;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
223;13;santa-ana;texistepeque;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
224;1;sonsonate;sonsonate;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
225;2;sonsonate;acajutla;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
226;3;sonsonate;armenia;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
227;4;sonsonate;caluco;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
228;5;sonsonate;cuisnahuat;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
229;6;sonsonate;izalco;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
230;7;sonsonate;juayua;;;NUESTRO TIEMPO;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
231;8;sonsonate;nahuizalco;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
232;9;sonsonate;nahulingo;N-CD;;;FMLN;;PDC;VAMOS;PCN;GANA;;ARENA
233;10;sonsonate;salcoatitan;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
234;11;sonsonate;san-antonio-del-monte;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
235;12;sonsonate;san-julian;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
236;13;sonsonate;santa-catarina-masahuat;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
237;14;sonsonate;santa-isabel-ishuatan;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
238;15;sonsonate;santo-domingo-de-guzman;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
239;16;sonsonate;sonzacate;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
240;1;usulutan;usulutan;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
241;2;usulutan;alegria;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
242;3;usulutan;berlin;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
243;4;usulutan;california;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
244;5;usulutan;concepcion-batres;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
245;6;usulutan;el-triunfo;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
246;7;usulutan;ereguayquin;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
247;8;usulutan;estanzuelas;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
248;9;usulutan;jiquilisco;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
249;10;usulutan;jucuapa;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
250;11;usulutan;jucuaran;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
251;12;usulutan;mercedes-umana;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
252;13;usulutan;nueva-granada;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
253;14;usulutan;ozatlan;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
254;15;usulutan;puerto-el-triunfo;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
255;16;usulutan;san-agustin;;;;FMLN;N;PDC;VAMOS;PCN;GANA;CD;ARENA
